Strike,Call Implied Vol ($10^{-2}$),Put Implied Vol ($10^{-2}$),Percentage Difference
1450,21.87,21.97,-0.46\%
1500,20.89,20.96,-0.34\%
1550,19.93,20.00,-0.35\%
1600,19.00,19.06,-0.32\%
1675,17.64,17.61,+0.17\%
1700,17.14,17.11,+0.18\%
1750,16.16,16.14,+0.12\%
1775,15.73,15.67,+0.38\%
1800,15.21,15.21,+0.00\%
1825,14.71,14.69,+0.14\%
1850,14.21,14.19,+0.14\%
1875,13.73,13.68,+0.36\%
1900,13.23,13.21,+0.15\%
1925,12.73,12.69,+0.31\%
1975,11.83,11.79,+0.34\%
2000,11.40,11.47,-0.61\%
2050,10.67,10.78,-1.03\%
2100,10.12,10.28,-1.58\%
