Date,JPM,GS,MS,BAC,RBS,CS,UBS,RY(RBC),BCS(Barclays)
1/17/2012,0.039352085,0.094230889,0.100979348,0.067573425,0.154538803,0.140379171,0.137959444,0.043252129,0.1198012
1/23/2012,-0.004113539,0.027544892,0.01145988,0.030771659,0.013873055,0.027872266,0.025446666,-0.00486619,0.010211613
1/30/2012,0.02844564,0.050246741,0.09021658,0.073025135,0.042703117,0.04318853,0.042858684,0.024478431,0.069379831
2/6/2012,-0.017785432,-0.029453735,-0.032244607,0.029024119,-0.035838102,-0.079857334,-0.053685207,-0.003433152,-0.01913934
2/13/2012,0.022847385,0.015577873,-0.025935064,-0.006238323,0.009080653,0.041303806,0.030023699,-0.001338304,0.068026221
2/21/2012,-0.005061953,-0.000349375,-0.035297782,-0.017677228,0.021241715,0.030736626,-0.002114911,0.023259061,-0.000644953
2/27/2012,0.059618586,0.037717679,0.019941378,0.032584336,-0.02350416,-0.013923085,-0.030815767,0.04334591,0.031748698
3/5/2012,0.009765947,-0.022545512,-0.026495197,-0.00991334,-0.069154671,-0.0307835,-0.028794902,0.004999118,-0.064538521
3/12/2012,0.082703582,0.046977507,0.061107986,0.196131938,0.087112505,0.110155566,0.069442209,0.021146162,0.064538521
3/19/2012,0.013218059,0.026091255,0.039914366,0.005104656,-0.002227172,-0.014099634,-0.014074828,-0.008756623,-0.021479032
3/26/2012,0.017949775,-0.014420035,-0.034260278,-0.027879968,-0.014598799,-0.024071577,-0.014994926,-0.000351865,-0.043059489
4/2/2012,-0.029792318,-0.052643733,-0.065666784,-0.036251304,-0.098596116,-0.067695013,-0.067709009,-0.013820206,-0.086284369
4/9/2012,-0.025758473,-0.024940676,-0.062679276,-0.061575128,-0.018904155,-0.034841212,-0.048905644,-0.021459664,-0.022043508
4/16/2012,-0.011347639,-0.023242419,0.011587615,-0.037651506,-0.027080959,0.013208117,0.001615509,0.027861962,0.004447746
4/23/2012,0.014398927,0.017349961,-0.02803922,-0.013277202,0.038466281,-0.056433615,0.016013152,0.018442606,0.061668282
4/30/2012,-0.037487976,-0.048525579,-0.057297816,-0.063971651,-0.008844025,-0.092495466,-0.02167889,-0.051971341,-0.073573184
5/7/2012,-0.12171411,-0.06503247,-0.068141827,-0.024919322,-0.072352388,-0.028078588,-0.011428696,-0.023181381,-0.041258717
5/14/2012,-0.098695955,-0.067229887,-0.112925811,-0.072984893,-0.156199161,-0.073341591,-0.07853864,-0.062514305,-0.144061343
5/21/2012,0.00030326,0.012602561,-0.007547206,0.018401085,0.039098021,0.007124712,0.026294241,-0.036197526,0.024033199
5/29/2012,-0.048138466,-0.038185974,-0.040190881,-0.016973533,-0.053556104,-0.040885384,-0.028072019,-0.016284285,-0.065418416
6/4/2012,0.053581479,0.020391348,0.074445905,0.074209862,0.121730645,0.066912879,0.040964333,0.0197985,0.107611501
6/11/2012,0.039325097,0.011723216,0.041583052,0.044048572,0.114913593,-0.072209502,0.023629791,0.024058245,0.062903543
6/18/2012,0.026889492,-0.021437731,-0.01058958,0.005056901,-0.02718614,-0.00425759,-0.003341691,0.010022132,-0.007151401
6/25/2012,-0.007365472,0.023535487,0.030750152,0.029815873,-0.113853758,-0.02483929,-0.020288101,0.010120138,-0.202621916
7/2/2012,-0.04418039,-0.004094709,-0.030750152,-0.065763261,-0.081146258,-0.026594365,-0.060731374,0.012361582,-0.002933987
7/9/2012,0.062214128,0.02030791,-0.006407996,0.020699316,0.031399754,-0.021567238,-0.030403079,-0.002342836,-0.002942621
7/16/2012,-0.062214128,-0.034079314,-0.095095917,-0.100959912,-0.01244184,-0.029105663,-0.05183502,0,-0.032953556
7/23/2012,0.084581483,0.076467092,0.057987258,0.033429297,0.078235369,0.052916312,0.076778576,0.006623831,0.063903802
7/30/2012,-0.021809008,-0.006543099,0.021269595,0.016304709,-0.014577518,-0.037094124,-0.01748779,-0.000194194,0.010421695
8/6/2012,0.023991224,0.019989834,0.05848796,0.040929805,0.03321605,0.021852508,0.011998298,0.003683245,0.082287703
8/13/2012,0.000272442,0.005638747,-0.001369863,0.033081897,0.034895376,0.037403188,0.012762252,0.054230154,0.04663838
8/20/2012,0.005162354,0.013002832,-0.00205832,0.019827167,-0.027818205,0.051265897,0.014388737,-0.006251169,-0.017551642
8/27/2012,-0.000813339,0.011607018,0.029772158,-0.021079516,0.014005831,0.00259943,-0.00447428,0.032480402,-0.019583427
9/4/2012,0.056419811,0.09563689,0.129857987,0.09781331,0.089095435,0.094082201,0.102216565,0.025732826,0.124353549
9/10/2012,0.05631782,0.042330355,0.065708796,0.081789433,0.136548465,0.088152817,0.087551042,0.005552678,0.117361113
9/17/2012,-0.016860509,-0.038983431,-0.065708796,-0.047168443,-0.01116083,-0.010002258,-0.042430607,-0.006597246,-0.026686496
9/24/2012,-0.009905975,-0.02639042,-0.020107123,-0.031217697,-0.068511987,-0.078623261,-0.058981236,0,-0.038887898
10/1/2012,0.037371549,0.048337664,0.044399816,0.054007614,0.016686919,0.064981685,0.049649909,0.02205085,0.044420415
10/8/2012,-0.002160087,0.007431874,-0.010916512,-0.021692825,0.021053409,-0.006222242,-0.014955021,-0.012343719,0.019126266
10/15/2012,0.016678967,0.028055322,0.01262933,0.034486176,0.034133006,0.04617545,0.034297984,0.01608522,0.008757213
