DATE|TICKER|RM|R
1990-01-02|IBM|0.017799|0.041169
1990-01-03|IBM|-0.002586|0.008929
1990-01-04|IBM|-0.008613|0.011378
1990-01-05|IBM|-0.009756|-0.0025
1990-01-08|IBM|0.004514|0.006266
1990-01-09|IBM|-0.011787|-0.009963
1990-01-10|IBM|-0.006607|-0.003774
1990-01-11|IBM|0.003513|0.008838
1990-01-12|IBM|-0.024675|-0.020025
1990-01-15|IBM|-0.008619|0.002554
1990-01-16|IBM|0.011128|0.020382
1990-01-17|IBM|-0.009831|-0.012484
1990-01-18|IBM|0.002341|0.006321
1990-01-19|IBM|0.002839|-0.008794
1990-01-22|IBM|-0.025859|-0.020279
1990-01-23|IBM|0.003723|0.001294
1990-01-24|IBM|-0.004071|0.007752
1990-01-25|IBM|-0.012657|-0.016667
1990-01-26|IBM|-8.59E-4|0.01043
1990-01-29|IBM|-0.001842|0.003871
1990-01-30|IBM|-0.006827|0.0
1990-01-31|IBM|0.018887|0.014139
1990-02-01|IBM|-8.81E-4|-0.008872
1990-02-02|IBM|0.006478|0.006394
1990-02-05|IBM|0.00281|0.025006
1990-02-06|IBM|-0.006599|0.013802
1990-02-07|IBM|0.012407|0.02104
1990-02-08|IBM|-0.002367|-0.003636
1990-02-09|IBM|0.001982|-0.002433
1990-02-12|IBM|-0.010611|-0.013415
1990-02-13|IBM|0.002848|0.021014
1990-02-14|IBM|0.002991|0.004843
1990-02-15|IBM|0.008674|0.0
1990-02-16|IBM|-0.00648|-0.00241
1990-02-20|IBM|-0.014216|-0.006039
1990-02-21|IBM|-9.76E-4|0.019441
1990-02-22|IBM|-0.006012|-0.015495
1990-02-23|IBM|-0.004759|-0.006053
1990-02-26|IBM|0.013944|0.013398
1990-02-27|IBM|0.004838|-0.002404
1990-02-28|IBM|0.004936|0.001205
1990-03-01|IBM|0.002561|0.001203
1990-03-02|IBM|0.008415|0.008413
1990-03-05|IBM|-0.005364|0.001192
1990-03-06|IBM|0.012555|0.007143
1990-03-07|IBM|-0.0029|-0.002364
1990-03-08|IBM|0.009853|0.014218
1990-03-09|IBM|-0.006877|-0.004673
1990-03-12|IBM|0.00219|0.011737
1990-03-13|IBM|-0.007884|-0.013921
1990-03-14|IBM|0.002589|0.0
1990-03-15|IBM|0.003562|0.007059
1990-03-16|IBM|0.011359|0.015187
1990-03-19|IBM|0.004738|0.003452
1990-03-20|IBM|-0.005705|-0.009174
1990-03-21|IBM|-0.005358|-0.006944
1990-03-22|IBM|-0.011921|-0.006993
1990-03-23|IBM|0.004558|-0.014085
1990-03-26|IBM|0.001216|-0.008333
1990-03-27|IBM|0.011462|0.003601
1990-03-28|IBM|0.001464|0.013158
1990-03-29|IBM|-0.003538|0.001181
1990-03-30|IBM|-0.002494|0.001179
1990-04-02|IBM|-0.003648|-0.002356
1990-04-03|IBM|0.014585|0.007084
1990-04-04|IBM|-0.007421|-0.001172
1990-04-05|IBM|-0.001055|-0.003521
1990-04-06|IBM|-0.001908|-0.002356
1990-04-09|IBM|0.003793|-0.003542
1990-04-10|IBM|0.002051|0.003555
1990-04-11|IBM|-4.39E-4|0.004723
1990-04-12|IBM|0.007078|0.007051
1990-04-16|IBM|0.001162|0.035006
1990-04-17|IBM|-1.74E-4|0.002255
1990-04-18|IBM|-0.011489|-0.011249
1990-04-19|IBM|-0.007719|-0.006826
1990-04-20|IBM|-0.008785|0.002291
1990-04-23|IBM|-0.012145|0.0
1990-04-24|IBM|-0.002084|-0.004571
1990-04-25|IBM|0.005055|0.004592
1990-04-26|IBM|0.00268|-0.005714
1990-04-27|IBM|-0.011444|-0.012644
1990-04-30|IBM|0.005135|0.015134
1990-05-01|IBM|0.004383|-0.009174
1990-05-02|IBM|0.006712|0.010417
1990-05-03|IBM|0.003259|0.001145
1990-05-04|IBM|0.008404|0.022517
1990-05-07|IBM|0.006324|0.0
1990-05-08|IBM|0.004346|0.002262
1990-05-09|IBM|0.002485|0.004515
1990-05-10|IBM|0.0028|0.010112
1990-05-11|IBM|0.023792|0.014461
1990-05-14|IBM|0.007813|0.002193
1990-05-15|IBM|-0.001325|0.012035
1990-05-16|IBM|-7.9E-4|-0.002162
1990-05-17|IBM|0.001328|0.006501
1990-05-18|IBM|4.8E-4|-0.006459
1990-05-21|IBM|0.009474|0.014085
1990-05-22|IBM|0.001201|0.00641
1990-05-23|IBM|0.002399|0.008493
1990-05-24|IBM|-0.002449|0.0
1990-05-25|IBM|-0.010686|-0.021053
1990-05-29|IBM|0.017119|0.030108
1990-05-30|IBM|5.82E-4|0.009395
1990-05-31|IBM|0.001025|-0.007239
1990-06-01|IBM|0.005343|-0.004167
1990-06-04|IBM|0.011675|0.007322
1990-06-05|IBM|-0.002069|0.003115
1990-06-06|IBM|-0.004582|-0.001035
1990-06-07|IBM|-0.004959|0.0
1990-06-08|IBM|-0.012226|-0.015544
1990-06-11|IBM|0.00814|0.009474
1990-06-12|IBM|0.012775|0.003128
1990-06-13|IBM|-0.003686|0.009356
1990-06-14|IBM|-0.005481|-0.004119
1990-06-15|IBM|2.8E-5|-0.004137
1990-06-18|IBM|-0.016616|-0.013499
1990-06-19|IBM|0.004455|0.0
1990-06-20|IBM|0.001757|-0.006316
1990-06-21|IBM|0.003815|0.009534
1990-06-22|IBM|-0.013982|-0.024134
1990-06-25|IBM|-0.008778|0.003226
1990-06-26|IBM|-7.1E-4|0.001072
1990-06-27|IBM|0.008749|0.010707
1990-06-28|IBM|0.007011|-0.003178
1990-06-29|IBM|0.001091|-0.001063
1990-07-02|IBM|0.004246|0.008511
1990-07-03|IBM|0.001724|-0.007384
1990-07-05|IBM|-0.012439|-0.002125
1990-07-06|IBM|0.007704|0.005325
1990-07-09|IBM|0.003069|0.008475
1990-07-10|IBM|-0.008428|-0.010504
1990-07-11|IBM|0.013296|0.011677
1990-07-12|IBM|0.011655|0.007345
1990-07-13|IBM|0.005117|0.008333
1990-07-16|IBM|0.004465|0.011364
1990-07-17|IBM|-0.003876|-0.013279
1990-07-18|IBM|-0.008979|-0.007246
1990-07-19|IBM|0.00302|0.001043
1990-07-20|IBM|-0.010155|-0.019792
1990-07-23|IBM|-0.017422|-0.014878
1990-07-24|IBM|0.001351|-0.009709
1990-07-25|IBM|0.003654|0.0
1990-07-26|IBM|-0.003304|-0.014161
1990-07-27|IBM|-0.00694|-0.01547
1990-07-30|IBM|0.00597|0.006734
1990-07-31|IBM|0.001688|-0.005574
1990-08-01|IBM|-0.001769|0.001121
1990-08-02|IBM|-0.011364|-0.016797
1990-08-03|IBM|-0.018835|-0.014806
1990-08-06|IBM|-0.030244|-0.028116
1990-08-07|IBM|0.001196|-0.008424
1990-08-08|IBM|0.010513|0.001214
1990-08-09|IBM|0.004699|0.001212
1990-08-10|IBM|-0.013002|-0.012107
1990-08-13|IBM|0.009895|0.017157
1990-08-14|IBM|0.001623|0.006024
1990-08-15|IBM|0.001974|0.005988
1990-08-16|IBM|-0.022555|-0.011905
1990-08-17|IBM|-0.013719|-0.022892
1990-08-20|IBM|0.002074|0.008631
1990-08-21|IBM|-0.020243|-0.017115
1990-08-22|IBM|-0.016498|-0.014925
1990-08-23|IBM|-0.029979|-0.021465
1990-08-24|IBM|0.014492|0.036129
1990-08-27|IBM|0.031877|0.039851
1990-08-28|IBM|-3.11E-4|-0.007186
1990-08-29|IBM|0.008869|0.002413
1990-08-30|IBM|-0.016904|-0.020457
1990-08-31|IBM|0.01208|0.001229
1990-09-04|IBM|0.001643|0.006135
1990-09-05|IBM|0.004024|-0.00122
1990-09-06|IBM|-0.012115|0.0
1990-09-07|IBM|0.009174|0.030525
