seq,px,sz,cnt,vlm
0,42.8,100,28,28836
1,42.89,300,183,58989
2,42.95,100,321,11881
3,42.95,150,66,39658
4,43.04,100,243,24716
5,43.05,100,177,39215
6,43.02,100,197,40749
7,42.96,400,203,19578
8,42.98,100,119,89144
9,43.03,100,408,58264
10,43.13,200,292,34702
11,43.07,200,187,11047
12,43.05,100,69,16556
13,43.04,100,101,38014
14,43.13,200,217,44756
15,43.11,100,254,81078
16,43.21,200,371,66915
17,43.28,100,281,22711
18,43.24,2300,110,23093
19,43.24,404,97,70288
20,43.22,200,274,19812
21,43.24,100,94,19412
22,43.27,100,102,3350
23,43.25,100,18,6560
24,43.27,100,29,39599
25,43.32,100,216,74422
26,43.36,200,414,62750
27,43.35,200,300,35131
28,43.3,100,164,42202
29,43.3,200,237,52544
30,43.24,100,304,73660
31,43.22,170,466,30307
32,43.28,100,192,27113
33,43.24,100,208,29291
34,43.29,200,180,37376
35,43.34,400,210,40902
36,43.36,200,201,40992
37,43.34,100,155,11281
38,43.31,310,62,19910
39,43.25,100,102,37148
40,43.26,200,123,11462
41,43.25,200,67,68537
42,43.32,100,293,46670
43,43.34,200,217,10214
44,43.38,200,47,20895
45,43.35,1005,94,17877
46,43.33,200,94,31956
47,43.35,100,168,19539
48,43.38,100,114,21950
49,43.32,100,120,23158
50,43.34,100,117,30019
51,43.36,100,160,16111
52,43.36,100,94,46909
53,43.38,100,231,30318
54,43.37,400,146,25963
55,43.35,100,146,13781
56,43.37,200,80,11114
57,43.38,100,63,49453
58,43.38,100,220,91106
59,43.31,100,417,17624
60,43.33,100,87,9312
61,43.32,156,50,10683
62,43.29,200,55,9512
63,43.3,200,54,29377
64,43.22,100,135,7000
65,43.26,274,40,12089
66,43.26,200,49,19086
67,43.29,100,91,34349
68,43.31,100,166,25333
69,43.32,200,86,24810
70,43.34,100,106,11062
71,43.35,100,56,13649
72,43.36,100,71,35902
73,43.45,100,138,19287
74,43.44,100,79,28044
75,43.48,100,135,21726
76,43.41,100,98,38437
77,43.41,700,202,49926
78,43.32,205,228,7456
79,43.32,200,41,26354
80,43.36,300,118,8160
81,43.34,100,38,18090
82,43.37,300,94,10800
83,43.37,100,55,4251
84,43.35,100,21,12526
85,43.35,100,58,8075
86,43.38,100,38,19933
87,43.38,500,72,12353
88,43.38,100,69,18600
89,43.38,200,88,3800
90,43.37,100,20,17378
91,43.37,300,86,4863
92,43.35,100,26,31663
93,43.29,200,153,23339
94,43.27,300,101,10200
95,43.27,100,49,12641
96,43.3,194,44,4595
97,43.29,100,18,9039
98,43.32,170,60,14500
99,43.33,100,59,17913
100,43.39,100,72,20776
101,43.37,100,59,13906
102,43.37,200,67,9500
103,43.38,100,51,14000
104,43.36,100,60,13041
105,43.28,200,66,24218
106,43.31,100,122,11098
107,43.32,166,52,12754
108,43.3,100,67,24594
109,43.3,400,112,34629
110,43.3,100,145,11008
111,43.28,100,61,60673
112,43.32,500,236,17121
113,43.32,100,76,11764
114,43.35,100,51,8700
115,43.34,400,28,11695
116,43.34,200,48,29538
