JPM,GS,MS,BAC,RBS,CS,UBS,RY (RBC),BCS (Barclays)
0.0401366354,0.0988134206,0.1062537948,0.0699088146,0.1671195652,0.1507100321,0.1479289941,0.0442011354,0.1272727273
-0.0041050903,0.0279277602,0.0115257958,0.03125,0.0139697322,0.0282643312,0.0257731959,-0.0048543689,0.0102639296
0.0288540808,0.0515305198,0.0944112859,0.0757575758,0.0436280138,0.0441347271,0.0437903805,0.0247804878,0.0718432511
-0.0176282051,-0.0290242012,-0.0317302925,0.0294494238,-0.0352035204,-0.0767519466,-0.0522696011,-0.0034272658,-0.018957346
0.0231103861,0.0156998403,-0.0256016385,-0.0062189055,0.0091220068,0.0421686747,0.030478955,-0.0013374092,0.0703933747
-0.0050491629,-0.0003493145,-0.0346820809,-0.0175219024,0.0214689266,0.0312138728,-0.0021126761,0.0235316625,-0.0006447453
0.0614316239,0.0384380187,0.0201415351,0.0331210191,-0.0232300885,-0.0138266069,-0.030345801,0.0442990654,0.0322580645
0.0098137896,-0.0222932615,-0.0261472785,-0.009864365,-0.066817667,-0.0303145131,-0.0283842795,0.0050116342,-0.0625
0.0862197857,0.048098434,0.0630136986,0.2166874222,0.0910194175,0.116451739,0.0719101124,0.0213713268,0.0666666667
0.0133058041,0.0264346113,0.0407216495,0.0051177073,-0.0022246941,-0.0140007,-0.0139762404,-0.0087183958,-0.02125
0.0181118406,-0.014316564,-0.0336800396,-0.0274949084,-0.0144927536,-0.0237841676,-0.0148830617,-0.000351803,-0.0421455939
-0.0293529019,-0.0512820513,-0.0635571502,-0.0356020942,-0.0938914027,-0.0654545455,-0.0654676259,-0.0137251452,-0.0826666667
-0.0254295533,-0.0246322272,-0.0607553366,-0.0597176982,-0.0187265918,-0.0342412451,-0.0477290223,-0.0212310437,-0.0218023256
-0.0112834979,-0.0229743949,0.0116550117,-0.0369515012,-0.0267175573,0.0132957293,0.0016168149,0.0282537368,0.0044576523
0.0145030908,0.0175013463,-0.0276497696,-0.0131894484,0.0392156863,-0.0548707753,0.01614205,0.018613721,0.0636094675
-0.0367940005,-0.0473670283,-0.0556872038,-0.0619684083,-0.0088050314,-0.0883466554,-0.0214455917,-0.0506439262,-0.0709318498
-0.1145985401,-0.062962963,-0.0658720201,-0.024611399,-0.0697969543,-0.027688048,-0.0113636364,-0.0229147571,-0.0404191617
-0.0939818631,-0.0650197628,-0.1067830759,-0.0703851262,-0.1446111869,-0.0707166588,-0.0755336617,-0.0606003752,-0.1341653666
0.000303306,0.0126823082,-0.007518797,0.0185714286,0.0398724083,0.0071501532,0.026642984,-0.0355502297,0.0243243243
-0.0469981807,-0.0374660822,-0.0393939394,-0.0168302945,-0.0521472393,-0.0400608519,-0.0276816609,-0.0161524125,-0.0633245383
0.0550429526,0.0206006722,0.0772870662,0.0770328103,0.1294498382,0.0692023244,0.0418149466,0.0199957904,0.1136150235
0.0401085645,0.0117922023,0.0424597365,0.0450331126,0.1217765043,-0.0696640316,0.023911187,0.0243499794,0.0649241147
0.0272542766,-0.0212095758,-0.0105337079,0.0050697085,-0.0268199234,-0.0042485396,-0.0033361134,0.0100725222,-0.0071258907
-0.0073384138,0.0238146321,0.0312278211,0.0302648172,-0.1076115486,-0.0245333333,-0.020083682,0.0101715197,-0.1834130781
-0.0432186523,-0.004086337,-0.0302821748,-0.0636474908,-0.0779411765,-0.0262438491,-0.0589239966,0.0124383021,-0.0029296875
0.0641901932,0.0205155181,-0.0063875089,0.0209150327,0.0318979266,-0.0213363279,-0.0299455535,-0.0023400936,-0.0029382958
-0.0603183468,-0.0335051546,-0.0907142857,-0.0960307298,-0.0123647604,-0.0286861733,-0.0505144995,0,-0.0324165029
0.0882615156,0.0794666667,0.0597014925,0.0339943343,0.0813771518,0.0543414058,0.0798029557,0.006645817,0.0659898477
-0.021572911,-0.0065217391,0.0214974055,0.0164383562,-0.01447178,-0.0364145658,-0.0173357664,-0.0001941748,0.0104761905
0.0242813285,0.0201909688,0.0602322206,0.0417789757,0.033773862,0.0220930233,0.0120705664,0.0036900369,0.0857681433
0.0002724796,0.0056546749,-0.0013689254,0.0336351876,0.0355113636,0.0381114903,0.0128440367,0.0557275542,0.0477430556
0.0051757014,0.0130877363,-0.0020562029,0.0200250313,-0.0274348422,0.0526027397,0.0144927536,-0.0062316716,-0.0173985087
-0.0008130081,0.0116746411,0.0302197802,-0.0208588957,0.0141043724,0.002602811,-0.0044642857,0.0330136481,-0.0193929174
0.0580417684,0.10035944,0.1386666667,0.1027568922,0.0931849791,0.0986500519,0.1076233184,0.0260667738,0.1324161651
0.0579338631,0.0432390613,0.0679156909,0.0852272727,0.1463104326,0.0921550095,0.0914979757,0.0055681225,0.1245254366
-0.0167191665,-0.0382333553,-0.0635964912,-0.0460732984,-0.0110987791,-0.0099524016,-0.0415430267,-0.0065755321,-0.0263335584
-0.0098570724,-0.0260452365,-0.0199063232,-0.0307354555,-0.0662177329,-0.0756118881,-0.0572755418,0,-0.0381414702
0.0380786461,0.0495249824,0.0454002389,0.0554926387,0.0168269231,0.0671394799,0.0509031199,0.0222957673,0.0454217736
-0.0021577559,0.0074595591,-0.0108571429,-0.0214592275,0.0212765957,-0.0062029242,-0.01484375,-0.012267848,0.0193103448
0.0168188371,0.028452579,0.0127094165,0.0350877193,0.0347222222,0.0472581364,0.0348929421,0.0162152838,0.0087956698
