Date,BAC,BCS,CS,GS,JPM,MS,RBS,UBS
09/16/2016,15.49,8.58,13.09,166,65.82,31.59,4.86,13.77
09/09/2016,15.74,9.15,13.73,168.570007,66.650002,31.59,5.42,14.68
09/02/2016,16,9.31,13.27,169.179993,67.489998,31.889999,5.46,14.71
08/26/2016,15.716853,8.66,12.35,165.323511,66.220001,31.16,5.17,14.03
08/19/2016,15.149494,8.44,11.93,165.582493,65.860001,30.549999,4.92,13.46
08/12/2016,14.84093,8.47,12.03,162.614105,65.32,29.17,5.09,13.86
08/05/2016,14.980281,8.039437,11.31,161.45862,66.300003,29.01,4.76,13.46
07/29/2016,14.422875,8.1885,11.56,158.191397,63.970001,28.73,5.1,13.78
07/22/2016,14.313385,7.969875,11.54,159.785171,64.040001,28.72212,4.98,13.29
07/15/2016,13.59672,7.95,11.33,161.010376,64.18,27.818347,4.92,13.17
07/08/2016,13.10899,7.27425,10.46,149.794241,61.830002,26.189569,4.4,12.25
07/01/2016,13.039315,7.542562,10.87,147.672533,61.259998,25.742647,4.61,13.17
06/24/2016,12.939778,8.834438,11.51,141.307424,59.13962,24.352227,5.43,13.95
06/17/2016,13.337924,9.559875,12.55,145.072699,61.798919,25.13682,6.48,14.71
06/10/2016,13.765933,9.50025,12.43,149.306144,63.34687,25.365248,6.06,14.33
06/03/2016,14.3532,10.444312,13.35,155.063629,64.14069,26.358406,6.96,14.8
05/27/2016,14.760997,10.841812,14.3,158.908594,64.924589,27.341632,7.36,15.44
05/20/2016,14.403877,10.0965,13.7,153.279825,63.019418,26.586832,6.75,14.83
05/13/2016,13.768995,9.331313,12.85,154.103218,60.727264,25.712852,6.06,14.72
05/06/2016,13.997155,9.351187,13.269652,157.585282,61.124172,26.070389,6.23,14.737169
04/29/2016,14.443557,9.987187,14.416529,162.803398,62.711815,26.874846,6.77,16.314802
04/22/2016,14.989157,9.848062,14.80514,165.422378,63.475867,27.360685,7.3,15.691306
04/15/2016,13.888035,9.400875,14.113223,157.257908,61.392086,25.444449,6.67,15.086704
04/08/2016,12.776992,8.417063,12.862084,149.083507,57.293991,23.459071,5.97,14.330952
04/01/2016,13.451554,8.576062,13.326522,158.54756,58.970933,25.217267,6.25,14.935554
03/24/2016,13.570594,8.695312,13.610871,151.781852,58.58679,24.624617,6.37,15.34177
03/18/2016,13.679714,9.400875,14.331224,156.345234,59.571773,25.95808,6.85,15.795221
03/11/2016,13.679714,9.599625,15.098969,152.714371,58.448893,25.681509,6.7,16.031394
03/04/2016,13.431714,9.551489,14.63453,155.591275,59.14823,25.809916,6.58,15.596837
02/26/2016,12.550674,9.064665,12.93791,148.408926,56.675924,24.851799,6.3,14.453762
02/19/2016,11.987377,8.977037,12.49243,145.109856,56.951718,23.706008,7.04,14.056992
02/12/2016,11.809493,8.957563,13.099042,144.339415,56.626676,22.807156,6.96,14.227036
02/05/2016,12.797735,9.794901,14.198527,154.552711,56.88277,24.051721,7,14.406527
01/29/2016,13.973743,10.495927,16.871414,159.580338,58.60649,25.562978,7.37,15.719646
01/22/2016,13.400563,10.700393,16.909328,154.937932,56.094784,25.147427,7.55,15.73854
01/15/2016,14.289981,10.671184,17.724464,153.703248,56.183433,25.500923,7.53,15.700753
01/08/2016,15.02128,11.372211,18.558556,161.931179,58.035198,27.867393,8.16,16.409271
12/31/2015,16.632114,12.618481,20.558483,178.021565,64.605033,31.23544,8.87,18.298652
12/24/2015,17.066941,12.998204,20.947094,180.234123,65.162732,31.893338,9.11,18.591505
12/18/2015,16.562938,12.530852,20.17935,173.339656,63.010212,30.724834,8.68,18.071924
12/11/2015,16.53329,12.48217,19.44004,174.396537,62.687332,31.500565,8.63,17.335067
12/04/2015,17.590708,13.572655,20.971614,187.661981,66.424894,34.682042,9.23,18.553717
11/27/2015,17.225974,13.095568,20.396794,187.494055,65.720431,33.169857,9.19,18.11916
11/20/2015,17.393504,13.076095,20.823272,188.478431,66.082449,33.297509,9.34,18.402566
11/13/2015,16.950045,13.251352,21.416634,187.415303,64.145175,33.317149,9.31,17.920774
11/06/2015,17.689145,13.69923,22.751698,196.058121,66.982593,34.770416,9.64,18.648186
